user_id,display_name,reputation,gold_badges,silver_badges,bronze_badges
22656,Jon Skeet,1499800,888,9283,9318
6309,VonC,1323203,562,4705,5576
1144035,Gordon Linoff,1269453,61,690,835
100297,Martijn Pieters,1121266,320,4209,3431
157882,BalusC,1108567,376,3648,3585
157247,T.J. Crowder,1073988,199,2002,1943
23354,Marc Gravell,1062510,273,2624,2956
29407,Darin Dimitrov,1038710,275,3316,2945
115145,CommonsWare,1006554,193,2436,2619
893,Greg Hewgill,992727,192,1180,1299
19068,Quentin,943108,132,1261,1387
17034,Hans Passant,941227,149,1748,2603
34397,SLaks,887225,181,1939,1987
3732271,akrun,886938,38,580,693
95810,Alex Martelli,881497,174,1245,1406
14860,paxdiablo,881103,241,1612,1989
190597,unutbu,879103,195,1844,1704
2901002,jezrael,862406,102,1425,1324
61974,Mark Byers,837946,201,1613,1467
5445,Christian C. Salvad&#243;,827198,184,928,843
218196,Felix Kling,816262,180,1108,1164
20862,Ignacio Vazquez-Abrams,798486,160,1361,1380
19563,CB Bailey,791421,107,644,665
548225,anubhava,784898,67,595,662
1491895,Barmar,780688,56,545,659
23283,JaredPar,754545,151,1261,1463
13302,marc_s,754240,184,1374,1488
15168,Jonathan Leffler,753475,145,946,1322
335858,Sergey Kalinichenko,726479,85,1148,1561
106224,BoltClock,723398,165,1423,1377
139985,Stephen C,718698,95,845,1260
816620,jfriend00,707158,103,1042,1021
69083,Guffa,700152,110,751,1017
571407,JB Nizet,691635,93,1253,1270
1048572,Bergi,664196,159,1015,1455
88656,Eric Lippert,659956,184,1257,2086
217408,G&#252;nter Z&#246;chbauer,657068,232,2057,1602
939860,Erwin Brandstetter,656281,157,1138,1293
53114,Gumbo,655129,112,791,851
13249,Nick Craver,630349,138,1302,1159
3832970,Wiktor Stribiżew,626689,41,496,611
18393,cletus,625007,169,918,945
505088,David Heffernan,612794,44,1109,1525
279627,Sven Marnach,601401,123,961,863
104349,Daniel Roseman,599470,68,902,918
209103,Frank van Puffelen,598688,84,888,858
203907,Bozho,597016,147,1072,1151
9951,Bite code,596623,117,309,334
65863,Remy Lebeau,595402,36,497,838
70604,Pascal Thivent,570295,140,1069,1131
65358,Reed Copsey,564333,80,1180,1390
20860,Bill Karwin,562230,87,699,856
9021,nickf,545985,198,658,726
1968,Konrad Rudolph,545508,139,958,1238
1187415,Martin R,539685,97,1270,1417
18936,bobince,536349,110,671,843
341994,matt,534893,93,931,1220
57695,Peter Lawrey,533442,82,768,1150
12950,tvanfosson,532445,102,699,799
1126841,chepner,530872,76,584,733
148870,Amber,526523,87,638,555
224671,kennytm,523174,110,1095,1013
476,deceze,522005,88,795,938
1863229,Tim Biegeleisen,520898,29,315,388
3681880,Suragch,511566,336,1414,1426
34509,Johannes Schaub - litb,506847,131,917,1224
87234,GManNickG,503785,53,502,549
367273,NPE,500167,114,966,1024
1583,Oded,498904,102,893,1021
119963,Cascabel,496742,75,381,319
31671,alex,490143,204,889,991
179910,Jerry Coffin,490048,83,648,1137
16417,Paolo Bergantino,488374,82,521,437
1256452,torek,487755,68,739,866
596781,Kerrek SB,476940,93,897,1099
67579,willeM_ Van Onsem,476547,33,472,609
771848,alecxe,473763,126,1118,1221
734069,Nicol Bolas,473212,64,832,1042
922184,Mysticial,471209,46,339,337
223092,Mark Longair,467033,76,422,330
95592,Matthew Rankin,461147,39,127,165
284240,Tim Schmelter,460028,77,710,971
263693,Stephen Cleary,456322,77,710,840
227665,codaddict,454930,83,499,536
73226,Martin Smith,452977,95,769,873
187606,Pekka,449385,148,984,1096
1271826,Rob,437392,74,836,1099
50079,Jon,437336,84,753,816
